student,exam
2025310001,FMAT
2025310001,DSA1
2025310001,DSYS
2025310001,ITE
2025310001,ENG1
2025310001,CTCS
2025310001,HOA1
2025310001,CITZ
2025310002,FMAT
2025310002,DSA1
2025310002,DSYS
2025310002,ITE
2025310002,ENG1
2025310002,CTCS
2025310002,HOA1
2025310002,CITZ
2025310003,FMAT
2025310003,DSA1
2025310003,DSYS
2025310003,ITE
2025310003,ENG1
2025310003,CTCS
2025310003,HOA1
2025310003,CITZ
2025310004,FMAT
2025310004,DSA1
2025310004,DSYS
2025310004,ITE
2025310004,ENG1
2025310004,CTCS
2025310004,HOA1
2025310004,CITZ
2025310005,FMAT
2025310005,DSA1
2025310005,DSYS
2025310005,ITE
2025310005,ENG1
2025310005,CTCS
2025310005,HOA1
2025310005,CITZ
2025310006,FMAT
2025310006,DSA1
2025310006,DSYS
2025310006,ITE
2025310006,ENG1
2025310006,CTCS
2025310006,HOA1
2025310006,CITZ
2025310007,FMAT
2025310007,DSA1
2025310007,DSYS
2025310007,ITE
2025310007,ENG1
2025310007,CTCS
2025310007,HOA1
2025310007,CITZ
2025310008,FMAT
2025310008,DSA1
2025310008,DSYS
2025310008,ITE
2025310008,ENG1
2025310008,CTCS
2025310008,HOA1
2025310008,CITZ
2025310009,FMAT
2025310009,DSA1
2025310009,DSYS
2025310009,ITE
2025310009,ENG1
2025310009,CTCS
2025310009,HOA1
2025310009,CITZ
2025310010,FMAT
2025310010,DSA1
2025310010,DSYS
2025310010,ITE
2025310010,ENG1
2025310010,CTCS
2025310010,HOA1
2025310010,CITZ
2025310011,FMAT
2025310011,DSA1
2025310011,DSYS
2025310011,ITE
2025310011,ENG1
2025310011,CTCS
2025310011,HOA1
2025310011,CITZ
2025310012,FMAT
2025310012,DSA1
2025310012,DSYS
2025310012,ITE
2025310012,ENG1
2025310012,CTCS
2025310012,HOA1
2025310012,CITZ
2025310013,FMAT
2025310013,DSA1
2025310013,DSYS
2025310013,ITE
2025310013,ENG1
2025310013,CTCS
2025310013,HOA1
2025310013,CITZ
2025310014,FMAT
2025310014,DSA1
2025310014,DSYS
2025310014,ITE
2025310014,ENG1
2025310014,CTCS
2025310014,HOA1
2025310014,CITZ
2025310015,FMAT
2025310015,DSA1
2025310015,DSYS
2025310015,ITE
2025310015,ENG1
2025310015,CTCS
2025310015,HOA1
2025310015,CITZ
2025310016,FMAT
2025310016,DSA1
2025310016,DSYS
2025310016,ITE
2025310016,ENG1
2025310016,CTCS
2025310016,HOA1
2025310016,CITZ
2025310017,FMAT
2025310017,DSA1
2025310017,DSYS
2025310017,ITE
2025310017,ENG1
2025310017,CTCS
2025310017,HOA1
2025310017,CITZ
2025310018,FMAT
2025310018,DSA1
2025310018,DSYS
2025310018,ITE
2025310018,ENG1
2025310018,CTCS
2025310018,HOA1
2025310018,CITZ
2025310019,FMAT
2025310019,DSA1
2025310019,DSYS
2025310019,ITE
2025310019,ENG1
2025310019,CTCS
2025310019,HOA1
2025310019,CITZ
2025310020,FMAT
2025310020,DSA1
2025310020,DSYS
2025310020,ITE
2025310020,ENG1
2025310020,CTCS
2025310020,HOA1
2025310020,CITZ
2025310021,FMAT
2025310021,DSA1
2025310021,DSYS
2025310021,ITE
2025310021,ENG1
2025310021,CTCS
2025310021,HOA1
2025310021,CITZ
2025310022,FMAT
2025310022,DSA1
2025310022,DSYS
2025310022,ITE
2025310022,ENG1
2025310022,CTCS
2025310022,HOA1
2025310022,CITZ
2025310023,FMAT
2025310023,DSA1
2025310023,DSYS
2025310023,ITE
2025310023,ENG1
2025310023,CTCS
2025310023,HOA1
2025310023,CITZ
2025310024,FMAT
2025310024,DSA1
2025310024,DSYS
2025310024,ITE
2025310024,ENG1
2025310024,CTCS
2025310024,HOA1
2025310024,CITZ
2025310025,FMAT
2025310025,DSA1
2025310025,DSYS
2025310025,ITE
2025310025,ENG1
2025310025,CTCS
2025310025,HOA1
2025310025,CITZ
